Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.12,0,0.33,0,0,0,1.48,0.5,0,-0.12,0.53,0,0.06,0,0,0,0,0,0,package://robot_0/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_0/meshes/base_link.STL,,base_link_0-2;伺泰威电机62-13-9-2;伺泰威电机62-13-9-3;腰带-1,c0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_roll_link_1,0.05697,-0.10361,0.0902,0,0,0,0.34867,0.00204,0.00049,-0.00086,0.00291,0.00073,0.00223,0,0,0,0,0,0,package://robot_0/meshes/right_roll_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://robot_0/meshes/right_roll_link_1.STL,,right_roll_link_1-1,cr1,right_roll_joint_1,right_roll_joint_1,revolute,0.005,-0.075,0,0,1.5708,0,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
right_thigh_link_2,0.00843,-6.00E-05,-0.04551,0,0,0,0.46018,0.00035,0,0,0.00023,0,0.00016,0,0,0,0,0,0,package://robot_0/meshes/right_thigh_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://robot_0/meshes/right_thigh_link_2.STL,,right_thigh_joint_2-1,cr2,right_yaw_joint_2,right_thigh_joint_2,revolute,0.083546,-0.12797,0.159,1.5708,0,-1.5708,right_roll_link_1,0,0,1,0,0,-1.047,1.047,,,,,,,,
right_pitch_link_3,-0.17566,0.00359,0.01324,0,0,0,0.81621,0.00052,-0.00055,0.00068,0.01191,4E-05,0.01225,0,0,0,0,0,0,package://robot_0/meshes/right_pitch_link_3.STL,1,1,1,1,0,0,0,0,0,0,package://robot_0/meshes/right_pitch_link_3.STL,,right_pitch_link_2-1,cr3,right_pitch_joint_3,right_pitch_joint_3,revolute,0.022999,-0.00016171,-0.0455,0,-1.5708,0,right_thigh_link_2,0,0,1,0,0,-2.093,1.047,,,,,,,,
right_pitch_link_4,-0.14741,-0.00155,0.00861,0,0,0,0.10574,1E-05,-2.00E-05,1E-05,0.0018,0,0.0018,0,0,0,0,0,0,package://robot_0/meshes/right_pitch_link_4.STL,1,1,1,1,0,0,0,0,0,0,package://robot_0/meshes/right_pitch_link_4.STL,,right_pitch_link_3-1,cr4,right_pitch_joint_4,right_pitch_joint_4,revolute,-0.39999,-0.0025996,0.0165,0,0,0,right_pitch_link_3,0,0,1,0,0,0,1.047,,,,,,,,
right_pitch_link_5,-0.00085,-0.04624,0.02748,0,0,0,0.04908,0.00011,0,0,7E-05,4E-05,5E-05,0,0,0,0,0,0,package://robot_0/meshes/right_pitch_link_5.STL,1,1,1,1,0,0,0,0,0,0,package://robot_0/meshes/right_pitch_link_5.STL,,right_pitch_link_4-1,cr5,right_pitch_joint_5,right_pitch_joint_5,revolute,-0.39198,-0.0041092,0.005,0,0,0,right_pitch_link_4,0,0,1,0,0,-1.047,1.047,,,,,,,,
right_roll_link_6,0.00047,0.08668,0.06284,0,0,0,0.21281,0.00147,0,0,0.00134,-0.00031,0.00043,0,0,0,0,0,0,package://robot_0/meshes/right_roll_link_6.STL,1,1,1,1,0,0,0,0,0,0,package://robot_0/meshes/right_roll_link_6.STL,,right_roll_link_5-1,cr6,right_roll_joint_6,right_roll_joint_6,revolute,-0.0014433,-0.078215,0.085,-1.5708,1.5708,0,right_pitch_link_5,0,0,1,0,0,-1.047,1.047,,,,,,,,
left_roll_link_1,0.05693,0.10363,0.0952,0,0,0,0.34867,0.00204,-0.00049,-0.00086,0.00291,-0.00073,0.00223,0,0,0,0,0,0,package://robot_0/meshes/left_roll_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://robot_0/meshes/left_roll_link_1.STL,,left_roll_link_1-1,cl1,left_roll_joint_1,left_roll_joint_1,revolute,0,0.075,0,0,1.5708,0,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
left_thigh_link_2,-0.00843,-0.00038,-0.04549,0,0,0,0.46018,0.00034,1E-05,0,0.00023,0,0.00016,0,0,0,0,0,0,package://robot_0/meshes/left_thigh_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://robot_0/meshes/left_thigh_link_2.STL,,left_thigh_joint_2-1,cl2,left_yaw_joint_2,left_thigh_joint_2,revolute,0.0835,0.128,0.164,1.5708,0,-1.5708,left_roll_link_1,0,0,1,0,0,-1.047,1.047,,,,,,,,
left_pitch_link_3,-0.17567,0.00217,-0.01324,0,0,0,0.81621,0.00053,-0.00064,-0.00068,0.0119,-5.00E-05,0.01225,0,0,0,0,0,0,package://robot_0/meshes/left_pitch_link_3.STL,1,1,1,1,0,0,0,0,0,0,package://robot_0/meshes/left_pitch_link_3.STL,,left_pitch_link_2-1,cl3,left_pitch_joint_3,left_pitch_joint_3,revolute,-0.022975,-0.0010661,-0.0455,0,-1.5708,0,left_thigh_link_2,0,0,1,0,0,-2.093,1.047,,,,,,,,
