Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.14464,0,0.63562,0,0,0,1.6082,1.6349,0,0.2309,1.6777,0,0.06302,0,0,0,0,0,0,package://robot_10/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_10/meshes/base_link.STL,,base_link-1,c0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_roll_link,-0.11964,0.10244,-0.05598,0,0,0,0.34283,0.00223,0.00091,-0.00132,-0.00091,-0.00138,0.00049,0,0,0,0,0,0,package://robot_10/meshes/left_hip_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_10/meshes/left_hip_roll_link.STL,,left_hip_roll_link-1,left_hip_roll_joint,left_hip_roll_joint_x,left_hip_roll_joint,revolute,-0.001,0.075,0,0,0,0,base_link,1,0,0,0,0,-3.14,3.14,,,,,,,,
left_hip_yaw_link,-1E-05,0.00843,-0.04551,0,0,0,0.46018,0.00023,0,0,0.00035,0,0.00016,0,0,0,0,0,0,package://robot_10/meshes/left_hip_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_10/meshes/left_hip_yaw_link.STL,,left_hip_yaw_link-1,left_hip_yaw_joint,left_hip_yaw_joint_z,left_hip_yaw_joint,revolute,-0.166,0.128,-0.0835,0,0,0,left_hip_roll_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
left_hip_pitch_link,0.00472,-0.01824,-0.17562,0,0,0,0.81624,0.01192,-4E-05,-0.00047,0.01225,-0.00068,0.00052,0,0,0,0,0,0,package://robot_10/meshes/left_hip_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_10/meshes/left_hip_pitch_link.STL,,left_hip_pitch_link-1,left_hip_pitch_joint,left_hip_pitch_joint_y,left_hip_pitch_joint,revolute,0,0.028,-0.0455,0,0,0,left_hip_yaw_link,0,1,0,0,0,-3.14,3.14,,,,,,,,
left_knee_link,0,0.01314,-0.14741,0,0,0,0.10574,0.0018,0,0,0.0018,-1E-05,1E-05,0,0,0,0,0,0,package://robot_10/meshes/left_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_10/meshes/left_knee_link.STL,,left_knee_link-1,left_knee_joint,left_knee_joint_y,left_knee_joint,revolute,0,-0.04325,-0.4,0,0,0,left_hip_pitch_link,0,1,0,0,0,-3.14,3.14,,,,,,,,
left_ankle_pitch_link,-0.04625,-0.01898,0,0,0,0,0.04908,7E-05,-4E-05,0,5E-05,0,0.00011,0,0,0,0,0,0,package://robot_10/meshes/left_ankle_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_10/meshes/left_ankle_pitch_link.STL,,left_ankle_pitch_link-1,left_ankle_pitch_joint,left_ankle_pitch_joint_y,left_ankle_pitch_joint,revolute,0,0.00825,-0.392,0,0,0,left_knee_link,0,1,0,0,0,-3.14,3.14,,,,,,,,
left_ankle_roll_link,0.04783,0,-0.08669,0,0,0,0.21284,0.00043,0,0.00031,0.00147,0,0.00134,0,0,0,0,0,0,package://robot_10/meshes/left_ankle_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_10/meshes/left_ankle_roll_link.STL,,left_ankle_roll_link-1,left_ankle_roll_joint,left_ankle_roll_joint_x,left_ankle_roll_joint,revolute,-0.063229,-0.0765,0,0,0,0,left_ankle_pitch_link,1,0,0,0,0,-3.14,3.14,,,,,,,,
right_hip_roll_link,-0.11964,-0.10243,-0.05598,0,0,0,0.34281,0.00223,-0.00091,-0.00132,0.00379,-0.00049,0.00287,0,0,0,0,0,0,package://robot_10/meshes/right_hip_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_10/meshes/right_hip_roll_link.STL,,right_hip_roll_link-3,right_hip_roll_joint,right_hip_roll_joint_x,right_hip_roll_joint,revolute,-0.001,-0.075,0,0,0,0,base_link,1,0,0,0,0,-3.14,3.14,,,,,,,,
right_hip_yaw_link,-1E-05,-0.00843,-0.04551,0,0,0,0.46018,0.00023,0,0,0.00035,0,0.00016,0,0,0,0,0,0,package://robot_10/meshes/right_hip_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_10/meshes/right_hip_yaw_link.STL,,right_hip_yaw_link-3,right_hip_yaw_joint,right_hip_yaw_joint_z,right_hip_yaw_joint,revolute,-0.166,-0.128,-0.0835,0,0,0,right_hip_roll_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
right_hip_pitch_link,0.00472,0.01824,-0.17562,0,0,0,0.81624,0.01192,4E-05,-0.00047,0.01225,0.00068,0.00052,0,0,0,0,0,0,package://robot_10/meshes/right_hip_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_10/meshes/right_hip_pitch_link.STL,,right_hip_pitch_link-3,right_hip_pitch_joint,right_hip_pitch_joint_y,right_hip_pitch_joint,revolute,0,-0.02800001,-0.045500005,0,0,0,right_hip_yaw_link,0,1,0,0,0,-3.14,3.14,,,,,,,,
right_knee_link,0,-0.01314,-0.14741,0,0,0,0.10574,0.0018,0,0,0.0018,1E-05,1E-05,0,0,0,0,0,0,package://robot_10/meshes/right_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_10/meshes/right_knee_link.STL,,right_knee_link-3,right_knee_joint,right_knee_joint|_y,right_knee_joint,revolute,0,0.04325,-0.4,0,0,0,right_hip_pitch_link,0,1,0,0,0,-3.14,3.14,,,,,,,,
right_ankle_pitch_link,-0.04625,0.01898,0,0,0,0,0.04908,7E-05,4E-05,0,5E-05,0,0.00011,0,0,0,0,0,0,package://robot_10/meshes/right_ankle_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_10/meshes/right_ankle_pitch_link.STL,,right_ankle_pitch_link-3,right_ankle_pitch_joint,right_ankle_pitch_joint_y,right_ankle_pitch_joint,revolute,0,-0.00825,-0.392,0,0,0,right_knee_link,0,1,0,0,0,-3.14,3.14,,,,,,,,
right_ankle_roll_link,0.04784,0,-0.08669,0,0,0,0.21281,0.00043,0,0.00031,0.00147,0,0.00134,0,0,0,0,0,0,package://robot_10/meshes/right_ankle_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_10/meshes/right_ankle_roll_link.STL,,right_ankle_roll_link-3,right_ankle_roll_joint,right_ankle_roll_joint_x,right_ankle_roll_joint,revolute,-0.063229,0.0765,0,0,0,0,right_ankle_pitch_link,1,0,0,0,0,-3.14,3.14,,,,,,,,
